term	popularity	commerciality
facebook andrea ham	1749	2453
facebook profile activity	1749	906
facebook profile pics	2649	1631
facebook has no with this sweepstakes ends on may 2012	3186	1537
facebook brad chuck sween	3957	666
facebook m j luczak	4372	570
facebook en espa�ol	4433	2112
facebook privacy suit 2011	3778	4076
facebook doesn t create gaps between people	1749	570
facebooklogin	5414	5213
facebook enemy list	1749	758
facebook page	5003	5411
facebook blocklist unblock	1749	1807
facebook taylor hadden	2649	2383
facebook stalking	1749	1125
facebook ipo date	3186	3559
facebook hackers insult	1749	1631
facebook cover photo i miss you	3778	570
facebook is going downhill 2012	1749	666
facebook outline	1749	1125
facebook sign in	5397	5400
facebook field of flowers timeline covers	3957	3602
facebook shapemasters	3536	570
facebook kayla van der linden	2649	1340
facebook connects friends	2649	1807
facebook updated their status same email	2649	1537
facebook apps for windows	2649	3943
facebook kathy godsey	3778	2453
facebook andrea stillwater	3186	1631
facebook wreaths	4485	4950
facebook hack 2012	5076	4780
facebook jill furr noll	3536	570
facebook julie light	1749	906
facebook spy	1749	2039
facebook and christy and kingsville and big house brunch	1749	570
facebook risque pics	5138	3703
facebook account	4531	4492
facebook pioneers game	4372	4647
facebook bayern m�nchen	2649	570
facebook tara scroggin	2649	666
facebook.ocm	3186	1125
facebook safety facts	1749	570
facebook pthc	1749	758
facebook and relationships	2649	2112
facebook emoticons	5026	5241
facebook.com don eldred au	3778	1340
facebook benefits	4092	1254
facebook cover hidden	1749	1125
facebook duane lambert	2649	1807
facebook benjamin wallbaum	1749	570
facebook secure login	1749	1025
facebook words with friends	3778	1631
facebook ampha	4372	1438
facebook game statuses	3186	758
facebook buys	2649	1025
facebook gif	1749	1254
facebook blog tweet natalie bath	3186	570
facebook timeline app	3186	3979
facebook.m	4299	1948
facebook vs myspace	1749	666
facebook security facts	2649	1537
facebook pioneers	2649	1254
facebook email address	1749	2639
facebook tara bolton	1749	1254
facebook mobile chat	2649	2722
facebook iberostar grand bavaro punta cana	1749	2722
facebook goes public	3536	3501
facebook timeline required	1749	906
facebook beggar	1749	570
facebook.com ziploc	1749	1948
facebook happy birthday	1749	1877
facebook ranking numbers of users	3186	666
facebook use policies	1749	906
facebook.com walmart fighthunger	4205	3943
facebook .com	6926	5838
facebook needs	3778	666
facebook button	4604	4736
facebook credit generator	4092	4433
facebook tube movies	3778	2297
facebook sage denee	3778	2241
